layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin,layer_name,shape
1,Conv2d,0.04155194156816211,24,64,2.6666666666666665,1.4897410826696356,-0.8809155384394515,0.40431545392356194,True,0.2562587857246399,conv2d,-0.3292648912028214,0.04074750320353636,-0.5913212360773721,0,216,1.0983670682446345,216,77,0,9,0.05581117609699887,0.2562587857246399,4.286163555870717,success,0.5062201023101807,0.0005237307632341981,over-trained,53,0.2562587857246399,8.771935972617939e-05,driving_vision_vision_model.vision._en.stem.0.reparam_conv_conv,"(64, 24, 3, 3)"
1,Conv2d,0.11772746642160603,64,64,1.0,1.9709046261778482,4.415616086337269,0.6273994884559206,True,173.94049072265625,conv2d,4.733162719417482,2.8626548707024853,2.240400690976316,0,64,728.8780482520192,64,15,1,1,0.2506864965295029,173.94049072265625,4.19038744356653,success,13.188650131225586,1.799422716430854e-05,over-trained,1,173.94049072265625,10.991023063659668,driving_vision_vision_model.vision._en.stem.2.reparam_conv_conv,"(64, 64, 1, 1)"
1,Conv2d,0.06897115718440106,64,192,3.0,3.0376661730899324,5.040716486696682,0.87165307914436,True,45.64617156982422,conv2d,5.266416951071162,2.602402791166626,1.6594043583035443,0,64,400.3158549591899,64,14,0,1,0.5445891920229524,45.64617156982422,8.769976565216059,success,6.756195068359375,0.3406330347061157,,0,45.64617156982422,9.375508308410645,driving_vision_vision_model.vision._en.stages.0.blocks.0.mlp.fc1_conv,"(192, 64, 1, 1)"
1,Conv2d,0.08765863450472755,64,192,3.0,3.4313059588481525,6.096091891419759,0.8472332167179422,True,59.78742218017578,conv2d,6.153002178808657,2.582402591268399,1.7766098285989462,0,64,382.2984975874424,64,13,0,1,0.6743229462283196,59.78742218017578,6.394296386208876,success,7.732232570648193,0.5011372566223145,,0,59.78742218017578,10.509300231933594,driving_vision_vision_model.vision._en.stages.0.blocks.0.mlp.fc2_conv,"(64, 192, 1, 1)"
1,Conv2d,0.07983432310456218,64,192,3.0,3.821826401207344,5.444772428507935,0.9097870230666174,True,26.585935592651367,conv2d,5.564609587926388,2.4181294987101833,1.4246519482904536,0,64,261.89638191461563,64,12,0,1,0.8145911161717265,26.585935592651367,9.850937199554735,success,5.156155109405518,0.5770688652992249,,0,26.585935592651367,6.780942916870117,driving_vision_vision_model.vision._en.stages.0.blocks.1.mlp.fc1_conv,"(192, 64, 1, 1)"
1,Conv2d,0.11342024612077639,64,192,3.0,2.383396813093166,3.420129523822673,0.9020856530759839,True,27.225831985473633,conv2d,4.016632987982209,2.5368620440777874,1.434981160096475,0,64,344.2405635714531,64,32,0,1,0.24455231690250911,27.225831985473633,12.64389509768234,success,5.217837810516357,0.35975381731987,,0,27.225831985473633,3.7765164375305176,driving_vision_vision_model.vision._en.stages.0.blocks.1.mlp.fc2_conv,"(64, 192, 1, 1)"
1,Conv2d,0.09413715817047424,1,128,128.0,1.5107016557463195,-0.7328687544860077,0.7488832455312708,True,0.327251672744751,conv2d,-0.05822968246335443,0.3485757314329484,-0.4851181248781743,0,49,2.2313912792596966,49,49,0,49,0.07295737939233136,0.327251672744751,6.818578681491209,success,0.572059154510498,0.572059154510498,over-trained,0,0.327251672744751,0.002003028988838196,driving_vision_vision_model.vision._en.stages.1.downsample.proj.0.reparam_conv_conv,"(128, 1, 7, 7)"
1,Conv2d,0.10378739030649087,128,128,1.0,1.7472503560040789,1.1382814173337827,0.5829274069949143,True,4.481982231140137,conv2d,1.2217046283607969,1.055688568462305,0.6514701304379792,0,128,11.368117884392213,128,37,0,1,0.12284720179063828,4.481982231140137,2.5364040502901246,success,2.1170692443847656,0.00032219706918112934,over-trained,3,4.481982231140137,0.033032845705747604,driving_vision_vision_model.vision._en.stages.1.downsample.proj.1.reparam_conv_conv,"(128, 128, 1, 1)"
1,Conv2d,0.0658036425523153,128,384,3.0,3.007476263833365,5.021743841770755,0.9275654114860953,True,46.74696731567383,conv2d,5.547135911013725,2.9687877738337467,1.669753441501806,0,128,930.6529832482338,128,31,0,1,0.3605533806773732,46.74696731567383,19.90830714137459,success,6.837175369262695,0.8751088380813599,,0,46.74696731567383,9.426334381103516,driving_vision_vision_model.vision._en.stages.1.blocks.0.mlp.fc1_conv,"(384, 128, 1, 1)"
1,Conv2d,0.06775031113471681,128,384,3.0,3.577105394050839,6.288950975703018,0.9262737226646389,True,57.294342041015625,conv2d,6.722695268623248,3.0862548902005926,1.7581117364230607,0,128,1219.7052416801453,128,25,0,1,0.5154210788101679,57.294342041015625,21.28840646790198,success,7.569302558898926,0.9145493507385254,,0,57.294342041015625,15.889548301696777,driving_vision_vision_model.vision._en.stages.1.blocks.0.mlp.fc2_conv,"(128, 384, 1, 1)"
1,Conv2d,0.06124827756250362,128,384,3.0,4.489176482693479,7.32635175444069,0.927251096713915,True,42.85519790649414,conv2d,7.421874137599781,2.878784998034682,1.6320035050270343,0,128,756.4583098143339,128,13,0,1,0.9677234398072637,42.85519790649414,17.65149495902112,success,6.546388149261475,0.4736308753490448,,0,42.85519790649414,13.024088859558105,driving_vision_vision_model.vision._en.stages.1.blocks.1.mlp.fc1_conv,"(384, 128, 1, 1)"
