layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin,layer_name,shape
1,Linear,0.1694506895211626,32,32,1.0,1.6826581932810043,1.5675571837667501,0.76600909424798,True,8.54271125793457,dense,2.061677917240893,1.651812641992208,0.9315957275376174,0,32,44.85518394441306,32,19,0,1,0.1566125303943134,8.54271125793457,5.250696481488946,success,2.9227917194366455,0.002746637910604477,over-trained,0,8.54271125793457,0.34010976552963257,driving_policy_policy_model.temporal_hydra.res_layer.desire_state.2_linear,"(32, 32)"
1,Linear,0.06527643034327862,256,4955,19.35546875,2.026056160454253,8.000748159954043,0.6932355027477478,True,8890.51953125,dense,8.135704213099416,4.581802548887864,3.948927140381059,0,256,38177.06601148844,256,47,0,1,0.14966567312102197,8890.51953125,4.29413217948589,success,94.28955078125,0.44864949584007263,,0,8890.51953125,146.28399658203125,driving_policy_policy_model.temporal_hydra.final_layer.plan_linear,"(4955, 256)"
1,Linear,0.0648387737947115,128,515,4.0234375,3.1410183281497313,5.78555048775321,0.7671566025508424,True,69.49197387695312,dense,5.830765986219159,2.5886368197678364,1.8419346477233973,0,128,387.825909614563,128,15,0,1,0.5528085552565837,69.49197387695312,5.580873415702251,success,8.33618450164795,0.3224213123321533,,0,69.49197387695312,8.19367504119873,driving_policy_policy_model.action_block.action_block_in.0_linear,"(128, 515)"
1,Linear,0.06647870430159553,128,512,4.0,1.72295316262097,0.31278397320711343,0.8556631656070994,True,1.5189359188079834,dense,1.0669703153058785,1.304024185063905,0.1815394521411737,0,128,20.13836393598467,128,112,0,1,0.06831265278009727,1.5189359188079834,13.258205093858516,success,1.2324512004852295,0.11797869950532913,over-trained,0,1.5189359188079834,0.022780271247029305,driving_policy_policy_model.action_block.resblocks.0.block_a.0_linear,"(512, 128)"
1,Linear,0.10082865230373006,128,512,4.0,1.7842239221573069,2.8850443084495208,0.8638218860724456,True,41.39752197265625,dense,3.557318233596359,2.7121876395263773,1.616974345328366,0,128,515.4513002932072,128,87,0,1,0.08407762970645077,41.39752197265625,12.451259779116038,success,6.434090614318848,0.5429897904396057,over-trained,0,41.39752197265625,0.9857432246208191,driving_policy_policy_model.action_block.resblocks.0.block_a.3_linear,"(128, 512)"
1,Linear,0.06192171669820157,128,512,4.0,2.0496059610560966,1.7590464455735888,0.8381355468804822,True,7.215001106262207,dense,2.2860594442937394,1.8711635140693585,0.8582364020190536,0,128,74.32989410310984,128,50,0,1,0.14843669852731783,7.215001106262207,10.302132045218364,success,2.686075448989868,0.20842401683330536,,0,7.215001106262207,0.32965776324272156,driving_policy_policy_model.action_block.resblocks.0.block_b.1_linear,"(512, 128)"
1,Linear,0.06443129771564188,128,512,4.0,1.918144325400168,2.2616349260220474,0.8019889058250439,True,15.103389739990234,dense,2.759790328281319,2.1090906563086986,1.179074429422937,0,128,128.55549836531281,128,51,0,1,0.12856592131211875,15.103389739990234,8.511698405353865,success,3.886307954788208,0.20512980222702026,over-trained,0,15.103389739990234,0.46445631980895996,driving_policy_policy_model.action_block.resblocks.0.block_b.4_linear,"(128, 512)"
1,Linear,0.05189200416403178,128,512,4.0,1.9888653826354963,2.282384271982113,0.7897109182955878,True,14.046918869018555,dense,2.621759953564512,1.9675204558707946,1.1475810740683048,0,128,92.7941196411848,128,60,0,1,0.1276619719529434,14.046918869018555,6.606012358044483,success,3.747921943664551,0.22442130744457245,over-trained,0,14.046918869018555,0.28097397089004517,driving_policy_policy_model.action_block.resblocks.1.block_a.0_linear,"(512, 128)"
1,Linear,0.05082139781113548,128,512,4.0,1.7718547322698235,1.4548289384500326,0.7126372149503803,True,6.623337268829346,dense,1.7803078976381868,1.5195876871103426,0.8210768704420441,0,128,33.081689957529306,128,65,0,1,0.09573679685851211,6.623337268829346,4.994716200429333,success,2.57358455657959,0.0778641626238823,over-trained,0,6.623337268829346,0.05602807551622391,driving_policy_policy_model.action_block.resblocks.1.block_a.3_linear,"(128, 512)"
1,Linear,0.03635757566091402,128,512,4.0,2.0257424900099252,2.0569147870845406,0.7620626057648093,True,10.360675811767578,dense,2.4112147133684125,1.8044694238358316,1.0153880847286085,0,128,63.74841978773475,128,50,0,1,0.14506189408743853,10.360675811767578,6.1529210010923965,success,3.2188003063201904,0.1915547400712967,,0,10.360675811767578,0.2199236899614334,driving_policy_policy_model.action_block.resblocks.1.block_b.1_linear,"(512, 128)"
1,Linear,0.028950094797597026,128,512,4.0,1.7727841520855647,1.4938393137453254,0.6303192668014203,True,6.9606781005859375,dense,1.8100952366304333,1.4600672260769898,0.8426515500987083,0,128,28.844779677689075,128,66,0,1,0.09512315348541157,6.9606781005859375,4.143961157356347,success,2.6383097171783447,0.06816940754652023,over-trained,0,6.9606781005859375,0.03458578139543533,driving_policy_policy_model.action_block.resblocks.1.block_b.4_linear,"(128, 512)"
1,Linear,0.151360278575857,10,512,51.2,4.5096241589992365,13.66148549491612,0.9855322836530273,True,1070.056396484375,dense,14.045797240428334,3.8433049881375627,3.0294066674389644,0,10,6971.158996582031,10,9,0,1,1.169874719666412,1070.056396484375,6.514758492622892,success,32.71171569824219,21.23037338256836,,0,1070.056396484375,530.1376342773438,driving_policy_onnx::Add_241_linear,"(10, 512)"
1,Linear,0.05388556483958029,512,512,1.0,4.501224298561579,11.746750978007201,0.8177736843133089,True,407.0793762207031,dense,11.774954197387215,3.839185191494427,2.6096791003640987,0,512,6905.341980907612,512,24,1,1,0.7146844172091513,407.0793762207031,16.963133934753294,success,20.17620849609375,0.0008385227411054075,,1,407.0793762207031,79.9068832397461,driving_policy_onnx::MatMul_242_linear,"(512, 512)"
1,Linear,0.04776698370020638,512,1536,3.0,1.8417457698310373,4.862768403467493,0.7716350257107113,True,436.8213195800781,dense,5.529193743013576,3.772074515919767,2.6403038264687346,0,512,5916.631425827742,512,103,0,1,0.08293967517854633,436.8213195800781,13.54474051659263,success,20.900270462036133,0.4903174340724945,over-trained,0,436.8213195800781,8.210878372192383,driving_policy_onnx::MatMul_243_linear,"(512, 1536)"
1,Linear,0.07297832034081475,512,512,1.0,1.5835711015176486,4.857547550798725,0.5210554362202581,True,1168.0572509765625,dense,4.879495017435773,3.3403919744994512,3.067464129740302,0,512,2189.737089701653,512,254,1,1,0.036616507535811825,1168.0572509765625,1.8746830156406358,success,34.17685317993164,0.0016248414758592844,over-trained,0,1168.0572509765625,0.34470388293266296,driving_policy_onnx::MatMul_258_linear,"(512, 512)"
1,Linear,0.08847136554755741,512,2048,4.0,7.945861323576724,11.962125678512132,0.9203748284702765,True,32.02238082885742,dense,12.16804741708513,3.254140119028659,1.505453618101598,0,512,1795.3127659074962,512,9,0,1,2.315287107858908,32.02238082885742,56.06431250388555,success,5.65883207321167,0.19187237322330475,under-trained,0,32.02238082885742,19.753358840942383,driving_policy_onnx::MatMul_259_linear,"(512, 2048)"
1,Linear,0.06297014728846284,512,2048,4.0,4.8889401719317345,9.74435246027739,0.8673900494499567,True,98.43331146240234,dense,9.786560763499967,3.352012408355792,1.993142095749388,0,512,2249.1188651565462,512,16,0,1,0.9722350429829336,98.43331146240234,22.84916388305824,success,9.921356201171875,0.13647161424160004,,0,98.43331146240234,26.854583740234375,driving_policy_onnx::MatMul_260_linear,"(2048, 512)"
